time, Acceleration x, Acceleration y, acceleration z, distance
1781,0.00,0.00,0.00,36.83
1798,0.00,0.00,0.00,40.04
1813,0.00,0.00,0.00,40.04
1829,0.00,0.00,0.00,40.04
1846,0.00,0.00,0.00,39.94
1861,0.00,0.00,0.00,40.04
1878,0.00,0.00,0.00,40.02
1894,0.00,0.00,0.00,39.94
1910,0.00,0.00,0.00,40.04
1926,0.00,0.00,0.00,40.02
1942,0.00,0.00,0.00,40.04
1958,0.00,0.00,0.00,39.94
1974,0.00,0.00,0.00,40.04
1990,0.00,0.00,0.00,40.04
2007,0.00,0.00,0.00,39.92
2022,0.00,0.00,0.00,40.04
2038,0.00,0.00,0.00,40.04
2055,0.00,0.00,0.00,39.92
2071,0.00,0.00,0.00,40.04
2086,0.00,0.00,0.00,39.97
2103,0.00,0.00,0.00,40.02
2119,0.00,0.00,0.00,39.92
2135,0.00,0.00,0.00,39.95
2151,0.00,0.00,0.00,40.04
2167,0.00,0.00,0.00,39.85
2184,0.00,0.00,0.00,39.95
2199,0.00,0.00,0.00,39.97
2215,0.00,0.00,0.00,39.97
2232,0.00,0.00,0.00,39.85
2247,0.00,0.00,0.00,39.97
2266,0.00,0.00,0.00,39.97
2284,-0.87,-0.90,9.98,39.90
2301,-1.41,-1.13,9.70,39.71
2319,-3.07,-1.24,9.81,39.58
2337,-3.68,-1.09,9.57,39.23
2355,-4.21,-0.71,10.28,38.92
2371,-3.87,-0.97,10.40,38.37
2388,-3.63,-1.66,9.62,37.76
2407,-3.46,-1.79,9.70,37.07
2423,-1.76,-1.89,11.24,36.30
2440,-0.71,-1.22,10.46,35.61
2458,-0.68,-1.22,9.24,34.77
2473,-0.91,-0.83,7.10,34.02
2490,-0.46,0.82,9.44,33.26
2508,-0.14,1.29,9.93,32.44
2524,0.34,1.13,9.13,31.75
2540,0.46,-0.26,7.86,31.05
2558,0.54,-0.89,8.41,30.39
2574,0.35,-1.63,9.39,29.67
2590,0.01,-2.25,8.91,28.97
2608,-0.38,-2.33,8.71,28.21
2623,-0.56,-1.66,8.84,27.63
2640,-1.20,-0.56,8.71,26.76
2658,-1.65,-0.22,8.60,25.93
2673,-1.51,0.33,8.25,25.18
2690,-0.87,0.41,8.34,24.46
2707,-0.39,0.52,8.54,23.55
2722,-0.06,-0.04,8.77,22.79
2740,0.19,-0.49,8.77,21.90
2757,0.48,-1.53,8.77,21.06
2771,1.00,-2.08,8.94,20.51
2789,1.32,-1.96,9.07,19.68
2805,1.55,-1.67,9.47,19.00
2821,1.75,-1.08,9.88,18.23
2838,1.73,-1.01,9.88,17.95
2853,1.53,-0.88,9.69,17.54
2868,1.69,-0.79,9.72,17.06
2883,1.43,-0.47,10.21,16.51
2899,1.34,-0.37,10.11,16.01
2915,0.54,-0.18,9.60,15.67
2930,0.50,-0.12,9.09,15.53
2947,0.59,-0.01,9.56,15.39
2962,0.80,0.11,10.07,14.78
2979,0.58,0.06,10.00,14.43
2994,-0.48,-0.31,9.21,14.57
3011,-0.67,-0.42,8.83,13.94
3025,0.11,-0.44,9.06,13.59
3042,1.06,-0.67,10.18,13.68
3058,1.74,-0.83,10.43,13.18
3073,3.03,-1.79,11.65,13.23
3090,3.06,-2.04,12.11,13.04
3104,2.76,-1.85,11.85,13.11
3120,2.00,-1.46,11.91,13.18
3134,-0.36,0.09,8.96,13.40
3151,-1.17,0.69,8.33,13.54
3166,-1.66,1.47,7.53,13.47
3181,-1.35,1.26,7.89,13.39
3196,-0.43,0.25,9.19,13.32
3213,0.46,-1.18,10.45,13.46
3227,0.58,-2.30,10.49,13.46
3244,-0.23,-2.75,9.09,13.52
3260,-0.53,-2.54,8.93,13.54
3275,-0.82,-0.92,8.60,13.47
3292,-0.56,-0.48,8.78,13.39
3307,0.17,0.72,9.97,13.39
3323,0.23,0.67,10.22,13.46
3340,0.24,0.03,10.02,13.54
3355,0.02,-0.98,9.70,13.59
3369,-0.11,-1.17,9.50,13.59
3385,-0.27,-1.12,9.25,13.68
3401,-0.04,-0.98,9.52,13.68
3417,1.69,-0.15,11.63,13.46
3431,2.27,0.13,12.15,13.59
3446,4.07,0.75,10.75,13.99
3463,4.05,0.56,10.89,14.36
