1585,0.00,0.00,0.00,29.97
1690,0.00,0.00,0.00,33.05
1796,0.00,0.00,0.00,33.05
1902,0.00,0.00,0.00,33.16
2008,0.00,0.00,0.00,33.05
2113,-0.94,-0.94,9.41,33.05
2220,-0.96,-0.95,9.44,33.04
2326,-0.92,-0.96,9.42,33.04
2434,-0.94,-0.92,9.45,33.04
2541,-0.95,-0.90,9.43,33.04
2647,-0.93,-0.87,9.42,33.04
2755,-0.95,-0.91,9.40,33.05
2862,-0.91,-0.91,9.39,33.05
2968,-0.91,-0.90,9.44,33.05
3075,-0.94,-0.89,9.42,33.05
3180,-0.95,-0.88,9.42,33.05
3289,-0.92,-0.93,9.40,33.05
3395,-0.65,-2.01,9.80,32.99
3502,-1.25,-1.31,9.08,32.85
3610,-1.97,-1.29,9.23,32.01
3716,-1.34,-0.90,9.19,30.22
3823,-0.75,-0.94,9.12,27.99
3929,-0.42,-1.02,9.38,25.93
4035,-0.88,-0.92,9.31,24.16
4142,-0.83,-1.22,9.31,22.31
4247,-0.90,-0.93,9.17,20.44
4355,-0.63,-0.90,9.42,18.29
4459,-0.35,-0.94,9.61,16.85
4567,-0.53,-0.77,9.59,15.60
4672,-0.70,-0.84,9.42,14.71
4779,-0.72,-0.96,9.42,13.87
4883,-0.68,-0.73,9.51,13.18
4988,0.38,-1.15,11.29,13.21
5093,-0.60,-1.20,9.92,13.87
5197,-0.33,-0.70,9.84,15.12
5303,-0.41,-0.79,9.58,16.92
5410,-0.45,-0.54,9.40,19.72
5516,-0.78,-1.10,9.10,22.89
5623,-0.83,-0.90,9.12,26.41
5729,-1.42,-1.00,8.95,29.81
5836,-1.05,-1.13,9.40,32.97
5943,-1.52,-1.21,9.29,35.89
6049,-2.08,-1.00,9.36,38.20
6155,-1.39,-1.32,9.27,39.95
6261,-0.93,-0.90,9.20,41.27
6370,-1.43,-1.07,9.46,42.51
6478,-1.24,-0.86,9.39,43.63
6586,-2.47,-1.34,9.74,44.35
6693,-2.14,1.90,12.91,43.23
6800,-4.10,-1.28,9.91,40.21
6905,-3.18,-1.26,7.35,34.31
7011,-0.29,-0.56,7.92,26.38
7116,2.37,-1.53,9.60,19.62
7223,0.17,0.13,9.27,15.26
7328,0.18,-1.09,9.91,12.46
7435,0.40,-1.04,10.55,10.62
7539,0.40,0.33,11.04,10.90
7646,-0.04,-1.89,9.86,12.29
7751,-0.68,-0.88,9.29,14.78
7858,-1.06,-0.35,9.04,17.88
7963,-1.15,-0.91,9.05,20.51
8069,-0.88,-0.92,9.40,23.10
8174,-1.07,-1.04,9.40,25.86
8282,-1.04,-1.00,9.25,28.56
8389,-0.69,-0.63,9.11,31.34
8495,-0.71,-1.09,9.42,34.50
8603,-1.18,-1.58,9.27,37.88
8710,-1.72,-1.62,9.19,40.69
8817,-1.42,-1.34,9.50,42.75
8926,-1.20,-0.94,9.39,44.28
9034,-1.57,-0.75,9.86,45.57
9141,-1.21,-1.06,9.12,46.01
9249,-1.58,-0.68,9.66,46.39
9358,-0.56,-0.85,9.82,46.29
9464,-1.76,-0.89,9.17,46.01
9571,-1.04,-3.48,10.61,45.29
9678,-1.73,-1.44,9.58,43.76
9784,-3.36,-0.98,10.06,40.66
9892,-2.77,-1.52,8.69,34.63
10000,-0.12,-0.43,7.27,25.79
10104,6.05,-2.72,11.33,19.14
10212,0.70,1.29,10.99,17.81
10317,-0.58,-2.98,9.65,17.75
10422,-0.38,-0.40,9.98,17.75
10527,2.88,-1.18,10.50,18.66
10633,2.91,-0.48,9.93,23.86
10739,-0.94,-1.48,8.30,32.02
10848,-4.76,1.38,8.85,39.03
10955,-5.69,-2.60,10.63,41.31
11062,-0.62,-2.20,8.89,40.73
11170,-0.82,-1.38,9.63,40.62
11277,-0.94,-1.15,9.37,40.62
11383,-0.89,-1.10,9.43,40.73
11490,-0.54,-0.77,9.66,40.55
11594,-1.01,-0.90,9.41,3.71
11701,-1.07,-1.21,9.34,4.17
11804,-0.69,-0.63,9.52,4.31
11911,-1.01,-0.79,9.34,5.13
12017,-0.77,-1.27,9.53,40.59
12126,-0.82,-1.06,9.52,40.59
12232,-1.21,-0.86,9.20,40.59
12340,-1.00,-1.03,9.43,40.52
12445,-2.35,-1.24,9.51,39.27
12550,-1.24,-0.80,9.52,3.83
12656,-1.69,-0.62,9.09,3.05
12761,-0.38,-0.74,8.93,3.40
12867,2.06,-2.28,9.68,2.61
12972,-1.94,1.42,8.71,3.88
13078,-0.52,-1.74,9.61,5.53
13185,-1.28,-0.87,9.09,26.28
13290,-0.75,-0.99,9.51,26.21
13395,-0.80,-0.50,9.38,26.31
13503,-0.90,-1.09,9.38,26.29
13607,-0.90,-0.67,9.38,5.23
13714,-0.89,-0.87,9.36,6.28
13818,-0.82,-0.90,9.39,5.51
13926,-0.96,-0.91,9.28,26.21
14031,-0.90,-0.93,9.36,26.21
14139,-0.83,-0.95,9.36,26.38
14243,-0.83,-0.94,9.46,4.24
14348,-0.45,-1.84,10.45,5.27
14452,-0.72,-1.10,9.34,5.10
14559,-0.83,-0.27,9.52,4.48
14663,1.91,-0.52,9.88,5.03
14770,-0.04,-0.83,8.12,7.88
14874,-1.96,-1.14,9.06,11.64
14982,-2.65,-1.41,9.37,12.22
15086,-2.65,-1.09,9.46,11.74
15193,-0.61,-0.57,9.94,13.95
15299,-1.13,-1.03,9.34,39.90
15407,-0.96,-0.96,9.42,39.90
15513,-0.97,-0.96,9.37,39.78
15621,-1.05,-0.78,9.33,39.80
15729,-1.10,-0.87,9.36,39.71
15836,-3.47,-0.70,10.02,39.27
15943,-2.31,-0.94,9.05,36.37
16051,-1.04,-0.79,8.83,32.01
16156,-0.31,-0.87,8.87,27.73
16262,-0.12,-1.09,9.29,24.18
16367,-0.14,-0.91,9.43,21.33
16474,0.04,-0.66,9.68,18.64
16580,-0.56,-0.95,9.43,16.92
16686,-0.75,-0.73,9.34,15.67
16793,-0.05,-0.80,9.85,14.43
16898,0.11,-0.72,10.60,13.88
17005,-0.93,-1.02,9.22,13.95
17110,-0.40,-0.78,9.94,14.00
17215,0.72,-0.46,9.15,14.88
17319,0.67,-0.99,10.16,16.85
17425,0.05,-0.31,9.04,21.06
17531,-0.13,-1.02,8.96,26.10
17640,-0.52,-0.90,9.03,31.48
17745,-0.70,-1.41,8.03,37.28
17854,-3.18,-2.29,9.23,42.37
17963,-3.10,-1.83,9.87,45.00
18070,-0.44,-0.43,9.04,45.98
18177,-2.02,-0.97,7.53,45.94
18283,-1.50,-0.65,10.15,44.09
