0.05,-0.25,-0.17,9.78,-28.88,-25.95,2.60,-0.13,-0.06,0.13,10
0.05,-0.19,-0.16,9.80,-29.61,-25.25,4.32,-0.06,0.06,0.25,10
0.05,-0.21,-0.19,9.76,-28.64,-24.55,4.39,-0.13,0.25,0.00,10
0.05,-0.23,-0.15,9.80,-30.09,-25.95,3.50,-0.06,0.00,-0.06,10
0.05,-0.21,-0.19,9.82,-29.37,-26.66,4.73,0.13,0.00,0.31,10
0.05,-0.21,-0.16,9.80,-31.02,-25.25,3.50,-0.25,0.19,0.06,10
0.05,-0.25,-0.17,9.80,-29.13,-24.55,3.02,0.06,0.13,0.19,10
0.05,-0.23,-0.16,9.80,-29.37,-28.76,4.39,-0.19,0.06,0.00,10
0.05,-0.19,-0.17,9.84,-30.29,-26.66,5.62,0.13,0.00,0.25,10
0.05,-0.23,-0.17,9.80,-29.85,-27.36,3.50,-0.25,0.19,-0.13,10
0.05,-0.21,-0.17,9.76,-30.53,-23.84,2.60,0.13,0.06,0.25,10
0.05,-0.21,-0.17,9.80,-29.13,-27.36,3.91,-0.06,0.06,0.00,10
0.05,-0.23,-0.16,9.74,-30.09,-25.95,3.02,0.00,0.13,0.06,10
0.05,-0.21,-0.17,9.78,-29.61,-27.36,2.19,-0.06,0.00,0.19,10
0.05,-0.21,-0.17,9.80,-29.61,-25.25,2.67,-0.13,0.06,0.13,10
0.05,-0.23,-0.17,9.80,-30.09,-28.76,4.39,0.06,0.00,0.25,10
0.05,-0.21,-0.17,9.78,-28.40,-23.84,3.02,-0.19,0.06,-0.06,10
0.05,-0.23,-0.17,9.76,-29.61,-24.55,2.60,0.00,0.06,0.06,10
0.05,-0.21,-0.16,9.78,-29.85,-25.25,3.91,-0.13,0.00,0.06,10
0.05,-0.21,-0.17,9.76,-29.37,-24.55,3.91,-0.13,0.13,0.06,10
0.05,-0.23,-0.17,9.78,-29.13,-28.06,4.32,-0.13,0.00,0.13,10
0.05,-0.19,-0.17,9.80,-29.61,-24.55,3.43,-0.06,0.06,0.00,10
0.05,-0.21,-0.17,9.76,-28.88,-25.95,5.69,-0.13,0.06,0.19,10
0.05,-0.21,-0.17,9.80,-29.61,-25.95,3.08,-0.06,0.19,0.06,10
0.05,-0.21,-0.17,9.78,-30.09,-24.55,3.50,0.06,0.00,0.06,10
0.05,-0.19,-0.16,9.82,-29.85,-25.95,4.73,0.00,0.19,0.06,10
0.05,-0.23,-0.17,9.78,-30.29,-27.36,5.21,-0.06,0.06,0.00,10
0.05,-0.23,-0.17,9.78,-29.61,-22.55,4.32,-0.13,0.13,0.13,10
0.05,-0.17,-0.17,9.80,-28.40,-23.26,3.50,0.00,0.00,0.13,10
0.05,-0.23,-0.17,9.80,-29.13,-25.25,4.39,-0.19,0.06,0.13,10
0.05,-0.25,-0.17,9.80,-28.64,-23.26,4.39,0.00,-0.19,0.00,10
0.05,-0.23,-0.17,9.80,-29.85,-25.95,3.43,-0.19,0.06,0.25,10
0.05,-0.21,-0.17,9.80,-30.29,-25.95,3.91,0.13,0.06,-0.06,10
0.05,-0.21,-0.17,9.80,-30.77,-25.95,3.91,-0.06,0.00,0.13,10
0.05,-0.23,-0.16,9.78,-30.53,-21.15,3.50,-0.13,0.13,0.06,10
0.05,-0.21,-0.17,9.80,-29.85,-24.55,4.39,0.06,-0.06,0.00,10
0.05,-0.21,-0.16,9.78,-30.09,-26.66,5.21,-0.06,0.06,0.19,10
0.05,-0.23,-0.17,9.74,-30.29,-25.25,4.39,-0.06,-0.06,0.00,10
0.05,-0.23,-0.17,9.78,-29.13,-24.55,3.91,-0.06,0.19,0.06,10
0.05,-0.21,-0.16,9.78,-30.53,-21.85,2.60,0.00,0.13,0.13,10
0.05,-0.23,-0.16,9.76,-28.88,-23.84,5.62,-0.13,-0.06,0.13,10
0.05,-0.21,-0.16,9.78,-30.09,-25.95,2.19,-0.13,-0.06,0.06,10
0.05,-0.21,-0.17,9.80,-29.37,-24.55,3.91,0.00,0.06,0.31,10
0.05,-0.23,-0.16,9.78,-29.13,-30.05,3.91,0.06,-0.13,0.06,10
0.05,-0.21,-0.17,9.76,-29.37,-25.95,4.80,-0.06,-0.06,0.06,10
0.05,-0.23,-0.17,9.80,-28.20,-23.84,3.91,0.00,0.13,0.06,10
0.05,-0.25,-0.17,9.80,-28.40,-27.36,3.91,-0.06,-0.13,0.19,10
0.05,-0.21,-0.17,9.76,-29.61,-25.25,4.80,-0.13,0.13,0.06,10
